drone_id,stage,generation,best_score,mean_score
FY1,proximity,132,-0.007888912765790923,-0.05176040570410039
FY1,proximity,133,-0.004551607230949755,-0.049475830217777406
FY1,proximity,134,-0.004551607230949755,-0.04748306764424124
FY1,proximity,135,-0.004551607230949755,-0.045608592662797154
FY1,proximity,136,-0.004551607230949755,-0.044726775043019786
FY1,proximity,137,-0.004551607230949755,-0.043462067321900756
FY1,proximity,138,-0.004551607230949755,-0.04062494157229549
FY1,proximity,139,-0.004551607230949755,-0.04018876410435255
FY1,proximity,140,-0.004551607230949755,-0.039644300818060724
FY1,proximity,141,-0.004551607230949755,-0.038212472833226235
FY1,proximity,142,-0.004551607230949755,-0.037555257363421364
FY1,proximity,143,-0.004551607230949755,-0.036001885794513626
FY1,proximity,144,-0.004551607230949755,-0.03447994600920291
FY1,proximity,145,-0.004551607230949755,-0.033231566076232406
FY1,proximity,146,-0.004551607230949755,-0.03307270419665189
FY1,proximity,147,-0.004551607230949755,-0.03238243987213211
FY1,proximity,148,-0.004551607230949755,-0.031576626336216024
FY1,proximity,149,-0.004551607230949755,-0.030965386778609716
FY1,proximity,150,-0.004378206185189294,-0.030229161868507787
FY1,duration_proxy,0,4.64294076113344,0.5771584990318973
FY1,duration_proxy,1,4.64294076113344,1.1002340839140674
FY1,duration_proxy,2,4.64294076113344,1.8227952477417446
FY1,duration_proxy,3,4.64294076113344,2.3533736925795217
FY1,duration_proxy,4,4.800747017344682,2.642389153076626
FY1,duration_proxy,5,4.800747017344682,2.836054967864196
FY1,duration_proxy,6,4.800747017344682,2.984704134984216
FY1,duration_proxy,7,4.800747017344682,3.06698944119411
FY1,duration_proxy,8,4.800747017344682,3.1467643880802214
FY1,duration_proxy,9,4.800747017344682,3.2073218865024447
FY1,duration_proxy,10,4.800747017344682,3.2698880435073847
FY1,duration_proxy,11,4.800747017344682,3.3217092657356844
FY1,duration_proxy,12,4.800747017344682,3.4328995132405304
FY1,duration_proxy,13,4.800747017344682,3.4958684384914114
FY1,duration_proxy,14,4.800747017344682,3.5842786668420925
FY1,duration_proxy,15,4.800747017344682,3.643051139656533
FY1,duration_proxy,16,4.800747017344682,3.731068204649135
FY1,duration_proxy,17,4.800747017344682,3.8286345538263853
FY1,duration_proxy,18,4.800747017344682,3.8915682669761056
FY1,duration_proxy,19,4.800747017344682,3.9590318229627814
FY1,duration_proxy,20,4.800747017344682,4.009799227804803
FY1,duration_proxy,21,4.800747017344682,4.02722272736084
FY1,duration_proxy,22,4.800747017344682,4.075769102675609
FY1,duration_proxy,23,4.800747017344682,4.120247659795758
FY1,duration_proxy,24,4.800747017344682,4.136484652841235
FY1,duration_proxy,25,4.800747017344682,4.197422551169265
FY1,duration_proxy,26,4.800747017344682,4.2391467711108035
FY1,duration_proxy,27,4.800747017344682,4.278471886560639
FY1,duration_proxy,28,4.806514690253083,4.3462222491009035
FY1,duration_proxy,29,4.806514690253083,4.396315294641819
FY1,duration_proxy,30,4.806514690253083,4.4366831130860245
